,0,1,2,3,4,5,6,7,8,9
0,0,1,1,1,2,1,0,0,-1,-1
1,-1,0,0,0,1,0,0,0,-1,-1
2,-1,0,0,0,1,0,-1,-1,-1,-1
3,-1,0,0,0,1,0,-1,-1,-1,-1
4,-2,-1,-1,-1,0,-1,-2,-2,-3,-3
5,-1,0,0,0,1,0,-1,-1,-1,-1
6,0,0,1,1,2,1,0,0,-1,-1
7,0,0,1,1,2,1,0,0,-1,-1
8,1,1,1,1,3,1,1,1,0,0
9,1,1,1,1,3,1,1,1,0,0
