,AHP,SWARA,LBWA,SAPEVO
$A_{1}$,0.9712622988344686,0.9228281419800827,0.8635879741221462,0.9629271567884804
$A_{2}$,0.0,0.0,0.0,0.0
$A_{3}$,0.9411764705882348,0.941176470588235,0.8618223624893369,0.9257142857142853
$A_{4}$,0.9541057865248105,0.8826628036498521,1.0,0.937836098140101
