,0,1,2,3,4,5,6,7,8,9
0,1.0,2.0,2.0,2.0,6.0,2.0,1.0,1.0,0.5,0.5
1,0.5,1.0,1.0,1.0,4.0,1.0,1.0,1.0,0.5,0.5
2,0.5,1.0,1.0,1.0,3.0,1.0,0.5,0.5,0.3333333333333333,0.3333333333333333
3,0.5,1.0,1.0,1.0,3.0,1.0,0.5,0.5,0.3333333333333333,0.3333333333333333
4,0.16666666666666666,0.25,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0.2,0.2,0.1111111111111111,0.1111111111111111
5,0.5,1.0,1.0,1.0,3.0,1.0,0.5,0.5,0.3333333333333333,0.3333333333333333
6,1.0,1.0,2.0,2.0,5.0,2.0,1.0,1.0,0.5,0.5
7,1.0,1.0,2.0,2.0,5.0,2.0,1.0,1.0,0.5,0.5
8,2.0,2.0,3.0,3.0,9.0,3.0,2.0,2.0,1.0,1.0
9,2.0,2.0,3.0,3.0,9.0,3.0,2.0,2.0,1.0,1.0
